n,a,u,v,s,t,scaled,residual
15,6,7,17,448,1088,56.21286778222971,0.8783260590973392
15,6,7,19,448,1216,59.97273446413812,0.9370739760021581
15,6,9,11,576,704,57.52047401972748,0.8987574065582419
15,6,9,13,576,832,63.87928531224894,0.9981138330038897
15,6,9,17,576,1088,55.24810241731194,0.8632516002704991
15,6,9,19,576,1216,55.09767881163916,0.8609012314318619
15,6,11,13,704,832,61.22050165539905,0.9565703383656101
15,6,11,15,704,960,55.83218839915211,0.8723779437367517
15,6,11,17,704,1088,59.18468597718041,0.9247607183934439
15,6,11,19,704,1216,61.62898277456375,0.9629528558525586
15,6,13,15,832,960,57.88073343397351,0.9043864599058361
15,6,13,17,832,1088,57.93409083506044,0.9052201692978193
15,6,13,19,832,1216,63.90107826076138,0.9984543478243966
15,6,15,17,960,1088,123.7790421307799,1.934047533293436
16,6,3,5,192,320,60.75628071269193,0.9493168861358114
16,6,3,7,192,448,61.10924902931422,0.9548320160830347
16,6,3,11,192,704,60.29697121880685,0.9421401752938571
16,6,3,13,192,832,59.71401224190317,0.933031441279737
16,6,3,17,192,1088,60.71729664687917,0.948707760107487
16,6,3,19,192,1216,59.281286207977075,0.9262700969996418
16,6,5,7,320,448,60.101397392930394,0.9390843342645374
16,6,5,9,320,576,60.15106657476058,0.939860415230634
16,6,5,11,320,704,60.01402487015556,0.9377191385961806
16,6,5,13,320,832,61.70831177895464,0.9641923715461662
16,6,5,17,320,1088,66.30100745899533,1.035953241546802
16,6,5,19,320,1216,58.726097511498246,0.9175952736171601
16,6,7,9,448,576,66.46102506936074,1.0384535167087616
16,6,7,11,448,704,60.690440880328,0.948288138755125
16,6,7,13,448,832,60.941349454850865,0.9522085852320448
16,6,7,15,448,960,58.67441084010304,0.91678766937661
16,6,7,17,448,1088,58.35557159940447,0.9118058062406948
16,6,7,19,448,1216,59.19825985296558,0.9249728102025871
16,6,9,11,576,704,59.32777297529884,0.9269964527390444
16,6,9,13,576,832,61.95458660388799,0.9680404156857498
16,6,9,17,576,1088,57.20839095245281,0.8938811086320751
16,6,9,19,576,1216,58.83597239959666,0.9193120687436979
16,6,11,13,704,832,61.07833566614397,0.9543489947834995
16,6,11,15,704,960,58.59707034607782,0.915579224157466
16,6,11,17,704,1088,60.33303893583286,0.9427037333723884
16,6,11,19,704,1216,59.345041458354466,0.9272662727867885
16,6,13,15,832,960,57.9915426105039,0.9061178532891234
16,6,13,17,832,1088,57.93828801717502,0.9052857502683597
16,6,13,19,832,1216,61.821271218803936,0.9659573627938115
16,6,15,17,960,1088,84.99042191091033,1.3279753423579739
17,6,3,5,192,320,60.82711782469168,0.9504237160108076
17,6,3,7,192,448,60.727520889384806,0.9488675138966376
17,6,3,11,192,704,60.38979468573595,0.9435905419646242
17,6,3,13,192,832,60.21758164422228,0.9408997131909731
17,6,3,17,192,1088,60.58777233967773,0.9466839428074645
17,6,3,19,192,1216,59.997296143399105,0.937457752240611
17,6,5,7,320,448,60.129587525093996,0.9395248050795937
17,6,5,9,320,576,60.392806050552245,0.9436375945398788
17,6,5,11,320,704,60.18236641437969,0.9403494752246827
17,6,5,13,320,832,61.25485300586007,0.9571070782165636
17,6,5,17,320,1088,63.186182039235476,0.9872840943630543
17,6,5,19,320,1216,59.629503152837586,0.9317109867630873
17,6,7,9,448,576,67.06931340135127,1.0479580218961135
17,6,7,11,448,704,60.176302260866,0.9402547228260313
17,6,7,13,448,832,61.45395817097185,0.9602180964214352
17,6,7,15,448,960,59.305158522593096,0.9266431019155171
17,6,7,17,448,1088,59.0463174673659,0.9225987104275922
17,6,7,19,448,1216,60.299271287355985,0.9421761138649373
17,6,9,11,576,704,59.68095311322254,0.9325148923941022
17,6,9,13,576,832,60.865998792310364,0.9510312311298494
17,6,9,17,576,1088,58.85643512765773,0.9196317988696521
17,6,9,19,576,1216,59.79089009166708,0.9342326576822981
17,6,11,13,704,832,59.99889567812495,0.9374827449707024
17,6,11,15,704,960,58.55107573243715,0.9148605583193304
17,6,11,17,704,1088,58.76281966058068,0.9181690571965732
17,6,11,19,704,1216,60.48483279124826,0.945075512363254
17,6,13,15,832,960,59.18055205024666,0.9246961257851041
17,6,13,17,832,1088,58.979477152314544,0.9215543305049148
17,6,13,19,832,1216,61.05419955097287,0.9539718679839511
17,6,15,17,960,1088,75.49388135882093,1.179591896231577
18,6,3,5,192,320,60.732907869914655,0.9489516854674165
18,6,3,7,192,448,60.80961844894563,0.9501502882647754
18,6,3,11,192,704,60.485415558136374,0.9450846180958808
18,6,3,13,192,832,60.449720624507734,0.9445268847579333
18,6,3,17,192,1088,60.4795429587845,0.9449928587310078
18,6,3,19,192,1216,60.34076052775963,0.9428243832462442
18,6,5,7,320,448,60.42046767534629,0.9440698074272857
18,6,5,9,320,576,60.55861207519605,0.9462283136749383
18,6,5,11,320,704,60.3926313791925,0.9436348652998828
18,6,5,13,320,832,61.25969384432268,0.9571827163175419
18,6,5,17,320,1088,61.586115304134076,0.9622830516270949
18,6,5,19,320,1216,60.21331953453524,0.9408331177271131
18,6,7,9,448,576,64.12213897654622,1.0019084215085348
18,6,7,11,448,704,60.410452618419015,0.9439133221627971
18,6,7,13,448,832,61.07270735013911,0.9542610523459236
18,6,7,15,448,960,60.1854610585685,0.9403978290401328
18,6,7,17,448,1088,59.78720162700333,0.934175025421927
18,6,7,19,448,1216,60.36156997364903,0.9431495308382661
18,6,9,11,576,704,60.14354528183305,0.9397428950286414
18,6,9,13,576,832,60.96218454571536,0.9525341335268025
18,6,9,17,576,1088,59.61570574659112,0.9314954022904862
18,6,9,19,576,1216,60.43610959012423,0.9443142123456911
18,6,11,13,704,832,60.376480280773215,0.9433825043870815
18,6,11,15,704,960,59.70504496210662,0.9328913275329159
18,6,11,17,704,1088,59.618326724051904,0.931536355063311
18,6,11,19,704,1216,60.25369073583935,0.9414639177474898
18,6,13,15,832,960,60.23785067752665,0.9412164168363539
18,6,13,17,832,1088,59.47121040589681,0.9292376625921377
18,6,13,19,832,1216,61.03097082466274,0.9536089191353553
18,6,15,17,960,1088,68.09920562601468,1.0640500879064794
19,6,3,5,192,320,60.69542771383132,0.9483660580286144
19,6,3,7,192,448,60.67285814724236,0.9480134085506619
19,6,3,11,192,704,60.51159512588209,0.9454936738419076
19,6,3,13,192,832,60.532115392714175,0.945814303011159
19,6,3,17,192,1088,60.598314006541926,0.9468486563522176
19,6,3,19,192,1216,60.4998020306485,0.9453094067288829
19,6,5,7,320,448,60.47317597515581,0.9448933746118096
19,6,5,9,320,576,60.58480853718052,0.9466376333934456
19,6,5,11,320,704,60.45801205603995,0.9446564383756242
19,6,5,13,320,832,60.900803396065015,0.9515750530635159
19,6,5,17,320,1088,61.56683630740788,0.9619818173032482
19,6,5,19,320,1216,60.33643945714165,0.9427568665178383
19,6,7,9,448,576,63.59845130098592,0.993725801577905
19,6,7,11,448,704,60.423083604365665,0.9441106813182135
19,6,7,13,448,832,60.98086865482317,0.952826072731612
19,6,7,15,448,960,60.33738049022584,0.9427715701597787
19,6,7,17,448,1088,60.1531235815214,0.9398925559612719
19,6,7,19,448,1216,60.52807509616039,0.9457511733775061
19,6,9,11,576,704,60.28384947661285,0.9419351480720758
19,6,9,13,576,832,60.78067629195875,0.9496980670618554
19,6,9,17,576,1088,60.18119801579941,0.9403312189968658
19,6,9,19,576,1216,60.43503943554917,0.9442974911804558
19,6,11,13,704,832,60.24328383155776,0.94130130986809
19,6,11,15,704,960,60.010004673749215,0.9376563230273315
19,6,11,17,704,1088,59.90717017619869,0.9360495340031045
19,6,11,19,704,1216,60.42098647371493,0.9440779136517958
19,6,13,15,832,960,60.41126250983997,0.9439259767162496
19,6,13,17,832,1088,60.25920773920033,0.9415501209250051
19,6,13,19,832,1216,60.536522683176564,0.9458831669246338
19,6,15,17,960,1088,68.2104467728806,1.0657882308262594
20,6,3,5,192,320,60.63697034570947,0.9474526616517105
20,6,3,7,192,448,60.65228255273742,0.9476919148865222
20,6,3,11,192,704,60.57092589119459,0.9464207170499155
20,6,3,13,192,832,60.55640104079817,0.9461937662624714
20,6,3,17,192,1088,60.58137644047922,0.9465840068824878
20,6,3,19,192,1216,60.5387746161977,0.945918353378089
20,6,5,7,320,448,60.523161519204095,0.945674398737564
20,6,5,9,320,576,60.58253792431294,0.9466021550673897
20,6,5,11,320,704,60.52847287710759,0.9457573887048061
20,6,5,13,320,832,60.764358573391014,0.9494431027092346
20,6,5,17,320,1088,61.04393087317402,0.9538114198933441
20,6,5,19,320,1216,60.438711044435976,0.9443548600693121
20,6,7,9,448,576,61.85651836831504,0.9665080995049224
20,6,7,11,448,704,60.51841332045215,0.9456002081320648
20,6,7,13,448,832,60.74708313555246,0.9491731739930072
20,6,7,15,448,960,60.47518860243356,0.9449248219130244
20,6,7,17,448,1088,60.385016630434734,0.9435158848505427
20,6,7,19,448,1216,60.564782778241465,0.9463247309100229
20,6,9,11,576,704,60.43292980566959,0.9442645282135873
20,6,9,13,576,832,60.68192817290507,0.9481551277016417
20,6,9,17,576,1088,60.34164823270186,0.9428382536359665
20,6,9,19,576,1216,60.51538791399443,0.945552936156163
20,6,11,13,704,832,60.40902554503911,0.943891024141236
20,6,11,15,704,960,60.3166064522125,0.9424469758158203
20,6,11,17,704,1088,60.27255080953967,0.9417586063990574
20,6,11,19,704,1216,60.459422469305,0.9446784760828906
20,6,13,15,832,960,60.497061782225074,0.9452665903472668
20,6,13,17,832,1088,60.31994825292859,0.9424991914520092
20,6,13,19,832,1216,60.561418557522806,0.9462721649612938
20,6,15,17,960,1088,65.10684211244929,1.01729440800702
21,6,3,5,192,320,60.62981914568581,0.9473409241513407
21,6,3,7,192,448,60.62271924169102,0.9472299881514222
21,6,3,11,192,704,60.5662339707808,0.94634740579345
21,6,3,13,192,832,60.5650533216892,0.9463289581513937
21,6,3,17,192,1088,60.621658325904825,0.9472134113422629
21,6,3,19,192,1216,60.543772836230474,0.9459964505661012
21,6,5,7,320,448,60.5610735533904,0.946266774271725
21,6,5,9,320,576,60.595810348227516,0.9468095366910549
21,6,5,11,320,704,60.550026492837034,0.9460941639505787
21,6,5,13,320,832,60.69444276672495,0.9483506682300773
21,6,5,17,320,1088,61.12195574004982,0.9550305584382784
21,6,5,19,320,1216,60.49760611010741,0.9452750954704283
21,6,7,9,448,576,61.94278972909008,0.9678560895170325
21,6,7,11,448,704,60.533167746471605,0.9458307460386188
21,6,7,13,448,832,60.7265962626376,0.9488530666037125
21,6,7,15,448,960,60.52916767685228,0.9457682449508169
21,6,7,17,448,1088,60.48149728293261,0.945023395045822
21,6,7,19,448,1216,60.54583100740734,0.9460286094907396
21,6,9,11,576,704,60.48170738265445,0.9450266778539758
21,6,9,13,576,832,60.66782074899591,0.9479346992030611
21,6,9,17,576,1088,60.49495851918177,0.9452337268622152
21,6,9,19,576,1216,60.51752657099016,0.9455863526717212
21,6,11,13,704,832,60.45132464659137,0.9445519476029901
21,6,11,15,704,960,60.416468994549845,0.9440073280398413
21,6,11,17,704,1088,60.410208515450016,0.9439095080539065
21,6,11,19,704,1216,60.48078072061614,0.9450121987596272
21,6,13,15,832,960,60.56511497501666,0.9463299214846354
21,6,13,17,832,1088,60.517095898299615,0.9455796234109315
21,6,13,19,832,1216,60.45602145785737,0.9446253352790214
21,6,15,17,960,1088,64.93993382935227,1.0146864660836292
22,6,3,5,192,320,60.60973008507405,0.947027032579282
22,6,3,7,192,448,60.61233339954077,0.9470677093678246
22,6,3,11,192,704,60.581782735262074,0.9465903552384699
22,6,3,13,192,832,60.58397360946026,0.9466245876478165
22,6,3,17,192,1088,60.6043982524568,0.9469437226946374
22,6,3,19,192,1216,60.57372498646297,0.9464644529134839
22,6,5,7,320,448,60.57651412500438,0.9465080332031934
22,6,5,9,320,576,60.59208668602363,0.9467513544691192
22,6,5,11,320,704,60.5694955403718,0.9463983678183093
22,6,5,13,320,832,60.65498614966721,0.9477341585885501
22,6,5,17,320,1088,60.8293868412773,0.9504591693949578
22,6,5,19,320,1216,60.55060468895418,0.9461031982649091
22,6,7,9,448,576,61.175004341644104,0.9558594428381891
22,6,7,11,448,704,60.56358567748753,0.9463060262107427
22,6,7,13,448,832,60.66687081920497,0.9479198565500777
22,6,7,15,448,960,60.57232102150587,0.9464425159610292
22,6,7,17,448,1088,60.543470257846934,0.9459917227788583
22,6,7,19,448,1216,60.57938999114213,0.9465529686115958
22,6,9,11,576,704,60.53819387732186,0.945909279333154
22,6,9,13,576,832,60.64843633681849,0.9476318177627889
22,6,9,17,576,1088,60.54054919751496,0.9459460812111713
22,6,9,19,576,1216,60.550249772888115,0.9460976527013768
22,6,11,13,704,832,60.52255736816664,0.9456649588776037
22,6,11,15,704,960,60.510139560249584,0.9454709306288998
22,6,11,17,704,1088,60.50561152015803,0.9454001800024692
22,6,11,19,704,1216,60.53474811956994,0.9458554393682803
22,6,13,15,832,960,60.59450190932392,0.9467890923331862
22,6,13,17,832,1088,60.55804989425483,0.9462195295977317
22,6,13,19,832,1216,60.53820394743553,0.9459094366786801
22,6,15,17,960,1088,63.66727156565565,0.9948011182133696
23,6,3,5,192,320,60.60552412661289,0.9469613144783264
23,6,3,7,192,448,60.598456036115614,0.9468508755643065
23,6,3,11,192,704,60.58662299883678,0.9466659843568247
